id,profile,relpath,old_title,new_title,new_filename,duration_s,bpm_pred,bpm_used,key_pred,key_conf,key_used
32,techno,Techno Samples (test)\HH 7 Loop.wav,HH 7 Loop,"HH 7 Loop, --, [LOOP] - 129BPM, G#m, dark/driving","HH 7 Loop, --, [LOOP] - 129BPM, G#m, dark-driving.wav",7.399047619047619,129.19921875,129,G#m,3.8039753995494934,G#m
33,techno,Techno Samples (test)\HH 8 short 124bpm.wav,HH 8 short 124bpm,"HH 8 short 124bpm, --, [LOOP] - 124BPM, Am, dark/driving","HH 8 short 124bpm, --, [LOOP] - 124BPM, Am, dark-driving.wav",15.48891156462585,123.046875,123,Am,3.7387756286162106,Am
34,techno,Techno Samples (test)\HH open Loop - Jannek Büngener.wav,HH open Loop - Jannek Büngener,"HH open Loop, --, [LOOP] - 133BPM, Em, dark/driving","HH open Loop, --, [LOOP] - 133BPM, Em, dark-driving.wav",14.545442176870749,132.51201923076923,133,Em,3.756644045175032,Em
35,techno,Techno Samples (test)\hi hat open Loop.wav,hi hat open Loop,"hi hat open Loop, --, [LOOP] - 133BPM, G#m, dark/driving","hi hat open Loop, --, [LOOP] - 133BPM, G#m, dark-driving.wav",7.272721088435374,132.51201923076923,133,G#m,3.796755946743571,G#m
36,techno,Techno Samples (test)\Kessel Hat Loop 144bpm.wav,Kessel Hat Loop 144bpm,"Kessel Hat Loop 144bpm, --, [LOOP] - 144BPM, A#m, dark/driving","Kessel Hat Loop 144bpm, --, [LOOP] - 144BPM, A#m, dark-driving.wav",13.333333333333334,143.5546875,144,A#m,3.80349078655849,A#m
37,techno,Techno Samples (test)\MT HH Loop 1 Jannek Büngener.wav,MT HH Loop 1 Jannek Büngener,"MT HH Loop 1 Jannek Büngener, --, [LOOP] - 126BPM, Cm, dark/driving","MT HH Loop 1 Jannek Büngener, --, [LOOP] - 126BPM, Cm, dark-driving.wav",15.36498866213152,126.04801829268293,126,Cm,3.7616782875796697,Cm
38,techno,Techno Samples (test)\sddf.wav,sddf,"sddf, --, [ONE-SHOT] - 120BPM, A#m, dark/driving","sddf, --, [ONE-SHOT] - 120BPM, A#m, dark-driving.wav",0.06297052154195011,120.18531976744185,120,A#m,3.877612143837178,A#m
39,techno,Techno Samples (test)\Selee Loop_HH.wav,Selee Loop_HH,"Selee Loop_HH, --, [LOOP] - 123BPM, Dm, dark/driving","Selee Loop_HH, --, [LOOP] - 123BPM, Dm, dark-driving.wav",16.013106575963718,123.046875,123,Dm,3.72355922703563,Dm
40,techno,Techno Samples (test)\HH 1.wav,HH 1,"HH 1, --, [ONE-SHOT] - 120BPM, Gm, dark/driving","HH 1, --, [ONE-SHOT] - 120BPM, Gm, dark-driving.wav",0.09233560090702948,120.18531976744185,120,Gm,3.840425285652506,Gm
41,techno,Techno Samples (test)\HH 2.wav,HH 2,"HH 2, --, [LOOP] - 120BPM, Am, dark/driving","HH 2, --, [LOOP] - 120BPM, Am, dark-driving.wav",0.23147392290249433,120.18531976744185,120,Am,3.742630088331726,Am
